sehir,tarih,aylik_ortalama_ecopulse
Aydın,2023-06,50.26
Aydın,2023-07,45.41
Aydın,2023-08,49.62
Aydın,2023-09,46.53
Aydın,2023-10,48.8
Aydın,2023-11,57.98
Aydın,2023-12,55.5
Aydın,2024-01,55.72
Aydın,2024-02,54.8
Aydın,2024-03,56.0
Aydın,2024-04,49.78
Aydın,2024-05,48.14
Aydın,2024-06,45.43
Aydın,2024-07,43.16
Aydın,2024-08,46.61
Aydın,2024-09,50.1
Aydın,2024-10,50.02
Aydın,2024-11,51.69
Aydın,2024-12,54.76
Aydın,2025-01,52.03
Aydın,2025-02,57.16
Aydın,2025-03,50.55
Aydın,2025-04,54.92
Aydın,2025-05,49.89
Ağrı,2020-01,62.05
Ağrı,2020-02,61.75
Ağrı,2020-03,60.78
Ağrı,2020-04,61.25
Ağrı,2020-05,54.63
Ağrı,2020-06,52.16
Ağrı,2020-07,52.03
Ağrı,2020-08,50.4
Ağrı,2020-09,50.95
Ağrı,2020-10,50.62
Ağrı,2020-11,58.31
Ağrı,2020-12,62.64
Ağrı,2021-01,61.65
Ağrı,2021-02,62.69
Ağrı,2021-04,53.93
Ağrı,2021-05,50.54
Ağrı,2021-06,48.12
Ağrı,2021-07,50.29
Ağrı,2021-08,49.98
Ağrı,2021-09,51.17
Ağrı,2021-10,50.87
Ağrı,2021-11,56.85
Ağrı,2021-12,60.94
Ağrı,2022-01,61.3
Ağrı,2022-02,60.54
Ağrı,2022-03,60.6
Ağrı,2022-05,55.18
Ağrı,2022-06,54.07
Ağrı,2022-07,46.76
Ağrı,2022-08,47.8
Ağrı,2022-09,46.52
Ağrı,2022-10,55.21
Ağrı,2022-12,59.31
Ağrı,2023-01,59.11
Ağrı,2023-02,62.92
Ağrı,2023-04,58.36
Ağrı,2023-06,53.07
Ağrı,2023-07,50.31
Ağrı,2023-08,49.11
Ağrı,2023-09,51.48
Ağrı,2023-10,58.17
Ağrı,2023-11,53.39
Ağrı,2023-12,61.86
Ağrı,2024-01,62.67
Ağrı,2024-02,61.38
Ağrı,2024-03,59.0
Ağrı,2024-04,57.51
Ağrı,2024-05,57.15
Ağrı,2024-06,48.39
Ağrı,2024-07,44.49
Ağrı,2024-08,52.76
Ağrı,2024-09,50.14
Ağrı,2024-10,48.94
Ağrı,2024-11,59.08
Ağrı,2024-12,62.73
Ağrı,2025-01,60.28
Ağrı,2025-02,62.96
Ağrı,2025-03,58.63
Ağrı,2025-05,52.91
Balıkesir,2020-01,62.03
Balıkesir,2020-02,56.25
Balıkesir,2020-03,56.11
Balıkesir,2020-04,53.17
Balıkesir,2020-05,54.9
Balıkesir,2020-06,53.15
Balıkesir,2020-07,52.33
Balıkesir,2020-08,52.61
Balıkesir,2020-09,50.08
Balıkesir,2020-10,53.08
Balıkesir,2020-11,56.99
Balıkesir,2021-01,63.4
Balıkesir,2021-02,55.53
Balıkesir,2021-03,57.06
Balıkesir,2021-04,62.57
Balıkesir,2021-05,52.58
Balıkesir,2021-06,54.86
Balıkesir,2021-07,50.94
Balıkesir,2021-08,51.39
Balıkesir,2021-09,51.23
Balıkesir,2021-10,59.64
Balıkesir,2021-11,54.37
Balıkesir,2021-12,60.31
Balıkesir,2022-01,57.53
Balıkesir,2022-02,57.11
Balıkesir,2022-03,55.19
Balıkesir,2022-04,55.12
Balıkesir,2022-05,55.23
Balıkesir,2022-06,54.08
Balıkesir,2022-07,50.69
Balıkesir,2022-08,49.5
Balıkesir,2022-09,53.48
Balıkesir,2022-10,57.1
Balıkesir,2022-11,53.1
Balıkesir,2022-12,59.91
Balıkesir,2023-01,58.63
Balıkesir,2023-02,59.22
Balıkesir,2023-03,55.11
Balıkesir,2023-05,54.65
Balıkesir,2023-06,50.54
Balıkesir,2023-07,49.08
Balıkesir,2023-08,49.69
Balıkesir,2023-09,50.35
Balıkesir,2023-10,52.16
Balıkesir,2023-11,54.1
Balıkesir,2023-12,56.92
Balıkesir,2024-01,58.27
Balıkesir,2024-02,58.52
Balıkesir,2024-03,54.7
Balıkesir,2024-04,54.05
Balıkesir,2024-05,55.24
Balıkesir,2024-06,48.26
Balıkesir,2024-07,50.42
Balıkesir,2024-08,49.79
Balıkesir,2024-09,53.08
Balıkesir,2024-10,52.32
Balıkesir,2024-11,57.01
Balıkesir,2024-12,58.12
Balıkesir,2025-01,59.14
Balıkesir,2025-02,58.66
Balıkesir,2025-03,53.05
Balıkesir,2025-05,52.5
Bartın,2020-01,59.09
Bartın,2020-02,58.44
Bartın,2020-04,56.29
Bartın,2020-05,54.1
Bartın,2020-07,53.11
Bartın,2020-08,46.42
Bartın,2020-09,52.75
Bartın,2020-10,51.94
Bartın,2020-11,56.68
Bartın,2020-12,53.61
Bartın,2021-01,54.88
